tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	poster_path	
tt0111161	movie	The Shawshank Redemption	The Shawshank Redemption	0	1994	\N	142	Drama	http://image.tmdb.org/t/p/original/hBcY0fE9pfXzvVaY4GKarweriG2.jpg	
tt0068646	movie	The Godfather	The Godfather	0	1972	\N	175	Crime,Drama	http://image.tmdb.org/t/p/original/3bhkrj58Vtu7enYsRolD1fZdja1.jpg	
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama	http://image.tmdb.org/t/p/original/qJ2tW6WMUDux911r6m7haRef0WH.jpg	
tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Action,Adventure,Drama	http://image.tmdb.org/t/p/original/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg	
tt0108052	movie	Schindler's List	Schindler's List	0	1993	\N	195	Biography,Drama,History	http://image.tmdb.org/t/p/original/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg	
tt0071562	movie	The Godfather Part II	The Godfather Part II	0	1974	\N	202	Crime,Drama	http://image.tmdb.org/t/p/original/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg	
tt0050083	movie	12 Angry Men	12 Angry Men	0	1957	\N	96	Crime,Drama	http://image.tmdb.org/t/p/original/ppd84D2i9W8jXmsyInGyihiSyqz.jpg	
tt0110912	movie	Pulp Fiction	Pulp Fiction	0	1994	\N	154	Crime,Drama	http://image.tmdb.org/t/p/original/fIE3lAGcZDV1G6XM5KmuWnNsPp1.jpg	
tt1375666	movie	Inception	Inception	0	2010	\N	148	Action,Adventure,Sci-Fi	http://image.tmdb.org/t/p/original/8IB2e4r4oVhHnANbnm7O3Tj6tF8.jpg	
tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0	2002	\N	179	Action,Adventure,Drama	http://image.tmdb.org/t/p/original/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg	
tt0137523	movie	Fight Club	Fight Club	0	1999	\N	139	Drama	http://image.tmdb.org/t/p/original/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg	
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Action,Adventure,Drama	http://image.tmdb.org/t/p/original/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg	
