tconst	ordering	nconst	category	job	characters
tt0012349	10	nm0088471	actor	\N	["His Assistant"]
tt0012349	1	nm0000122	actor	\N	["A Tramp"]
tt0012349	2	nm0701012	actress	\N	["The Woman"]
tt0012349	3	nm0001067	actor	\N	["The Child"]
tt0012349	4	nm0588033	actor	\N	["The Man"]
tt0012349	5	nm0042317	actor	\N	["Car Thief","Man in Shelter"]
tt0012349	6	nm0047800	actress	\N	["Bride"]
tt0012349	7	nm0048798	actress	\N	["Slum Nurse"]
tt0012349	8	nm0074788	actor	\N	["Professor Guido","Night Shelter Keeper"]
tt0012349	9	nm0080930	actor	\N	["Orphan Asylum Driver"]
tt0015324	10	nm0504380	cinematographer	\N	\N
tt0015324	1	nm0000036	actor	\N	["Projectionist","Sherlock, Jr."]
tt0015324	2	nm0570230	actress	\N	["The Girl"]
tt0015324	3	nm0444172	actor	\N	["The Girl's Father","Man on Film Screen"]
tt0015324	4	nm0175068	actor	\N	["The Hired Man","The Butler"]
tt0015324	5	nm0369841	writer	story	\N
tt0015324	6	nm0593477	writer	story	\N
tt0015324	7	nm0115669	writer	story	\N
tt0015324	8	nm3816287	composer	\N	\N
tt0015324	9	nm0396327	cinematographer	\N	\N
tt0015864	10	nm1027682	actor	\N	["Eskimo Child"]
tt0015864	1	nm0000122	actor	\N	["The Lone Prospector"]
tt0015864	2	nm0841501	actor	\N	["Big Jim McKay"]
tt0015864	3	nm0615306	actor	\N	["Black Larsen"]
tt0015864	4	nm0074788	actor	\N	["Hank Curtis"]
tt0015864	5	nm0675356	composer	\N	\N
tt0015864	6	nm0005906	cinematographer	\N	\N
tt0015864	7	nm0906618	actor	\N	["Jack Cameron"]
tt0015864	8	nm0354913	actress	\N	["Georgia"]
tt0015864	9	nm1033900	actor	\N	["Man in Dance Hall"]
tt0017136	10	nm2111404	composer	\N	\N
tt0017136	1	nm0375609	actress	\N	["Maria","Maschinenmensch","The Machine Man"]
tt0017136	2	nm0002154	actor	\N	["Johann (Joh) Fredersen"]
tt0017136	3	nm0297054	actor	\N	["Freder Fredersen - Joh Fredersens Sohn"]
tt0017136	4	nm0459030	actor	\N	["Erfinder C.A. Rotwang","The Inventor"]
tt0017136	5	nm0000485	director	\N	\N
tt0017136	6	nm0902376	writer	screenplay	\N
tt0017136	7	nm0690143	producer	producer	\N
tt0017136	8	nm3017782	composer	\N	\N
tt0017136	9	nm0923118	composer	\N	\N
tt0017925	10	nm1193626	composer	\N	\N
tt0017925	1	nm0000036	actor	\N	["Johnnie Gray"]
