nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0005683	Roger Deakins	1949	\N	cinematographer,camera_department,miscellaneous	tt0101410,tt1074638,tt1856101,tt8579674
nm0002353	Thomas Newman	1955	\N	music_department,composer,soundtrack	tt1074638,tt1454029,tt8579674,tt0910970
nm0555550	Niki Marvin	\N	\N	producer,director,writer	tt0100146,tt0111161,tt4337004,tt0093629
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0083767,tt0091499,tt0111161,tt0324864
nm0001104	Frank Darabont	1959	\N	writer,producer,director	tt0111161,tt0120689,tt0884328,tt1520211
nm0006669	William Sadler	1950	\N	actor,soundtrack,producer	tt0101452,tt0111161,tt0099423,tt0884328
nm0348409	Bob Gunton	1945	\N	actor,soundtrack	tt3322312,tt0285331,tt0111161,tt3305388
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0114369,tt0405159,tt1057500,tt0097239
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0112818,tt0327056,tt0091225,tt0105151
nm0290358	Richard Francis-Bruce	1948	\N	editor,editorial_department,sound_department	tt0097162,tt0117500,tt0114369,tt0118571
nm0932336	Gordon Willis	1931	2014	cinematographer,director,camera_department	tt0071562,tt0079522,tt0086637,tt0074119
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0071562,tt0063518,tt0056801,tt0068646
nm0748665	Albert S. Ruddy	1930	\N	writer,producer,miscellaneous	tt0084316,tt0405159,tt0068646,tt0087032
nm0701374	Mario Puzo	1920	1999	writer	tt0078346,tt0071562,tt0068646,tt0099674
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0068646,tt0071360,tt0071562,tt0078788
nm0000473	Diane Keaton	1946	\N	actress,producer,soundtrack	tt0356680,tt0075686,tt0073312,tt0337741
nm0001001	James Caan	1940	2022	actor,soundtrack,director	tt0068646,tt0073631,tt0083190,tt0100157
nm0000199	Al Pacino	1940	\N	actor,producer,soundtrack	tt0068646,tt0099422,tt0072890,tt0070666
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0068646,tt0047296,tt0078788,tt0070849
nm0722000	William Reynolds	1910	1997	editor,editorial_department,producer	tt0068646,tt0070735,tt0059742,tt0064418
nm0650038	Lorne Orleans	\N	\N	producer,production_manager,miscellaneous	tt0434409,tt0418279,tt0348150,tt0121765
nm0004170	Bob Kane	1915	1998	writer,miscellaneous,art_department	tt0372784,tt0468569,tt0096895,tt1877830
nm0275286	David S. Goyer	1965	\N	writer,producer,director	tt0118929,tt0372784,tt1441135,tt0468569
nm0634300	Jonathan Nolan	1976	\N	writer,producer,director	tt0475784,tt0468569,tt0482571,tt0816692
nm0634240	Christopher Nolan	1970	\N	writer,producer,director	tt0816692,tt0482571,tt1375666,tt6723592
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0482571,tt0124315,tt0258068,tt0468569
nm0001173	Aaron Eckhart	1968	\N	actor,producer,soundtrack	tt0298814,tt0468569,tt0427944,tt0935075
nm0005132	Heath Ledger	1979	2008	actor,director,soundtrack	tt0147800,tt0388795,tt0468569,tt0183790
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt0468569,tt0964517,tt1800241,tt0372784
nm0746273	Charles Roven	1949	\N	producer,executive	tt1800241,tt0468569,tt0451279,tt6334354
nm8662749	Eric Monette	1967	\N	miscellaneous,producer,actor	tt0178127
nm0101991	Philippa Boyens	\N	\N	writer,producer,soundtrack	tt0167261,tt0120737,tt0360717,tt0167260
nm0909638	Fran Walsh	1959	\N	writer,casting_department,producer	tt0360717,tt0167260,tt0167261,tt0120737
nm0866058	J.R.R. Tolkien	1892	1973	writer,soundtrack	tt0167260,tt0120737,tt0903624,tt0167261
nm0001392	Peter Jackson	1961	\N	producer,director,writer	tt0092610,tt0120737,tt0167261,tt0360717
nm0089217	Orlando Bloom	1977	\N	actor,producer,soundtrack	tt0325980,tt0167261,tt0120737,tt0167260
nm0005212	Ian McKellen	1939	\N	actor,soundtrack,writer	tt0120737,tt0167261,tt0167260,tt0120684
nm0001557	Viggo Mortensen	1958	\N	actor,producer,soundtrack	tt3553976,tt0765443,tt0167260,tt0167261
nm0000704	Elijah Wood	1981	\N	actor,producer,soundtrack	tt0167260,tt0120737,tt0338013,tt0167261
nm0651614	Barrie M. Osborne	1944	\N	producer,production_manager,assistant_director	tt0133093,tt0167260,tt0167261,tt0120737
nm0596520	Gerald R. Molen	1935	\N	producer,production_manager,transportation_department	tt0088939,tt0108052,tt0095953,tt0107290
nm0527322	Branko Lustig	1932	2019	production_manager,producer,assistant_director	tt0172495,tt0108052,tt0320661,tt0120053
nm0001873	Steven Zaillian	1953	\N	writer,producer,director	tt0120633,tt1568346,tt0108065,tt0108052
nm0447745	Thomas Keneally	1935	\N	writer,actor	tt0108052,tt6802798,tt0088119,tt0166180
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0082971,tt0120815,tt0108052,tt0083866
nm0328751	Caroline Goodall	1959	\N	actress,producer,writer	tt0106582,tt0102057,tt0360139,tt0108052
nm0001426	Ben Kingsley	1943	\N	actor,soundtrack,producer	tt1300854,tt0108052,tt0083987,tt0203119
nm0000146	Ralph Fiennes	1962	\N	actor,director,producer	tt0108052,tt2278388,tt1372686,tt0387131
nm0000553	Liam Neeson	1952	\N	actor,soundtrack,producer	tt1601913,tt0429493,tt0362269,tt0108052
nm0002354	John Williams	1932	\N	music_department,soundtrack,composer	tt0078346,tt0107290,tt0076759,tt2527336
nm0539794	Barry Malkin	1938	2019	editor,editorial_department	tt0094737,tt0099674,tt0071562,tt0119978
nm0000380	Robert Duvall	1931	\N	actor,producer,soundtrack	tt0068646,tt0086423,tt0118632,tt0078788
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0075314,tt0077416,tt0081398,tt0101540
nm0548943	Richard Marks	1943	2018	editor,editorial_department,producer	tt0099422,tt0092699,tt0078788,tt0119822
nm0503594	Carl Lerner	1912	1973	editor,editorial_department,director	tt0050083,tt0057889,tt0067309,tt1147447
nm0442100	Boris Kaufman	1906	1980	cinematographer,camera_department,director	tt0047296,tt0050083,tt0024844,tt0048973
nm0006132	Kenyon Hopkins	1912	1983	music_department,composer,soundtrack	tt0050083,tt0060009,tt0054997,tt0056753
nm0741627	Reginald Rose	1920	2002	writer,producer	tt0054531,tt0040051,tt0078294,tt0050083
nm0001486	Sidney Lumet	1924	2011	director,producer,writer	tt0292963,tt0050083,tt0070666,tt0072890
nm0275835	John Fiedler	1925	2005	actor,soundtrack	tt0076363,tt0050083,tt0063374,tt0065126
nm0000842	Martin Balsam	1919	1996	actor	tt0074119,tt0059798,tt0054215,tt0050083
nm0002011	Lee J. Cobb	1911	1976	actor,director,soundtrack	tt0050083,tt0047296,tt0059557,tt0053804
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0050083,tt0051207,tt0082846,tt0032551
nm0579673	Sally Menke	1953	2010	editor,producer,sound_department	tt0266697,tt0361748,tt0110912,tt0378194
nm0782900	Andrzej Sekula	1954	\N	cinematographer,director,camera_department	tt0144084,tt0285492,tt0105236,tt0110912
nm0004744	Lawrence Bender	1957	\N	producer,camera_department,actor	tt0266697,tt0361748,tt0110912,tt0105236
nm0000812	Roger Avary	1965	\N	writer,producer,director	tt0110265,tt0105236,tt0110912,tt0442933
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0116367,tt0110912,tt7131622,tt0105236
nm0000246	Bruce Willis	1955	\N	actor,producer,soundtrack	tt0088571,tt0167404,tt0095016,tt0110912
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt4154664,tt3460252,tt0417148,tt0110912
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,producer	tt0118688,tt0266697,tt0378194,tt0110912
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0077631,tt0110912,tt0113161,tt0076666
nm0913300	David Wasco	\N	\N	production_designer,art_department,actor	tt0369339,tt3783958,tt0266697,tt0361748
nm0809059	Lee Smith	1960	\N	editor,sound_department,editorial_department	tt5013056,tt0468569,tt1375666,tt8579674
nm0002892	Wally Pfister	1961	\N	cinematographer,camera_department,director	tt1375666,tt0468569,tt0372784,tt0482571
nm0001877	Hans Zimmer	1957	\N	music_department,composer,soundtrack	tt0988045,tt1160419,tt1375666,tt0172495
nm0858799	Emma Thomas	1971	\N	producer,miscellaneous,actress	tt0154506,tt1375666,tt5013056,tt0468569
nm0913822	Ken Watanabe	1959	\N	actor,producer,director	tt3741700,tt1375666,tt0831387,tt0325710
nm0680983	Elliot Page	1987	\N	actor,producer,soundtrack	tt0467406,tt1375666,tt0424136,tt1877832
nm0330687	Joseph Gordon-Levitt	1981	\N	actor,producer,soundtrack	tt1375666,tt1276104,tt1306980,tt2229499
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,soundtrack	tt0993846,tt0407887,tt0120338,tt1375666
nm0245596	Guy Hendrix Dyas	1968	\N	art_department,production_designer,visual_effects	tt12536294,tt1355644,tt1375666,tt2080374
nm0801728	Stephen Sinclair	\N	\N	writer,director,actor	tt0097858,tt0103873,tt1340119,tt0167261
nm0149556	Ceán Chaffin	1957	\N	producer,cinematographer	tt0421715,tt1285016,tt0443706,tt2267998
nm0068501	Ross Grayson Bell	\N	\N	producer,director,actor	tt0137523,tt0164212,tt0100789,tt0167205
nm0880243	Jim Uhls	1957	\N	writer,producer,actor	tt0137523,tt2082453,tt0489099,tt4546514
nm0657333	Chuck Palahniuk	1962	\N	writer,actor,producer	tt0137523,tt4546372,tt1773686,tt1024715
nm0000399	David Fincher	1962	\N	producer,director,actor	tt0443706,tt2267998,tt1285016,tt0114369
nm0340260	Zach Grenier	1954	\N	actor,soundtrack	tt0137523,tt0348914,tt2249007,tt8134186
nm0001533	Meat Loaf	1947	2022	actor,soundtrack,producer	tt0073629,tt0105793,tt0137523,tt0227984
nm0001570	Edward Norton	1969	\N	actor,producer,writer	tt2562232,tt0117381,tt0120586,tt0137523
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0114746,tt2935510,tt0356910,tt1210166
nm0513165	Art Linson	1942	\N	producer,writer,director	tt0758758,tt0486674,tt0094226,tt0137523
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt0944947,tt0167261,tt0120737,tt1181791
nm0761744	Tim Sanders	\N	\N	producer,production_manager,location_management	tt0298228,tt0403407,tt0120737,tt0116365
nm0823330	Steve Starkey	\N	\N	producer,assistant_director,editorial_department	tt0162222,tt0109830,tt0118884,tt1907668
nm0277704	Wendy Finerman	1961	\N	producer	tt0303933,tt0109830,tt0116277,tt1598828
nm0744839	Eric Roth	1945	\N	producer,writer,miscellaneous	tt0140352,tt0421715,tt0109830,tt1160419
nm0343165	Winston Groom	1943	2020	writer,actor	tt0090663,tt0156812,tt0109830,tt1852826
nm0000709	Robert Zemeckis	1952	\N	producer,writer,director	tt0118884,tt0109830,tt0088763,tt1907668
nm0000398	Sally Field	1946	\N	actress,producer,soundtrack	tt0076729,tt0098384,tt0109830,tt0443272
nm0000641	Gary Sinise	1955	\N	actor,producer,director	tt0109830,tt0112384,tt0117438,tt0105046
nm0000705	Robin Wright	1966	\N	actress,producer,director	tt0093779,tt0109830,tt0217869,tt0442933
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0120815,tt0162222,tt0094737,tt0109830
nm0005494	Steve Tisch	1949	\N	producer,actor,miscellaneous	tt0454921,tt0109830,tt0119925,tt11003218
nm0342090	Alberto Grimaldi	1925	2021	producer,miscellaneous	tt0064866,tt0217505,tt0074262,tt0070849
nm0769249	Furio Scarpelli	1919	2010	writer,director,soundtrack	tt0110877,tt0052216,tt0056945,tt0093004
nm0408488	Agenore Incrocci	1919	2005	writer,director,actor	tt0058564,tt0056945,tt0060196,tt0052216
nm0898812	Luciano Vincenzoni	1926	2013	writer,actor,producer	tt0058564,tt0060196,tt0062271,tt0091828
nm0001466	Sergio Leone	1929	1989	assistant_director,writer,director	tt0067140,tt0058461,tt0087843,tt0060196
nm0321294	Aldo Giuffrè	1924	2010	actor,miscellaneous,soundtrack	tt0055358,tt0060196,tt0063480,tt0066268
nm0001812	Lee Van Cleef	1925	1989	actor,soundtrack	tt0082340,tt0059578,tt0056217,tt0060196
nm0908919	Eli Wallach	1915	2014	actor,producer,miscellaneous	tt0060196,tt0457939,tt0054047,tt0048973
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0105695,tt0112579,tt0405159,tt1205489
nm0001553	Ennio Morricone	1928	2020	composer,soundtrack,music_department	tt0120731,tt0094226,tt1924396,tt3460252
nm0691084	Bill Pope	1952	\N	cinematographer,director,camera_department	tt3040964,tt0316654,tt0133093,tt3890160
nm0204485	Don Davis	1957	\N	composer,music_department,soundtrack	tt0234215,tt0242653,tt0133093,tt0163025
