tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0111161	movie	The Shawshank Redemption	The Shawshank Redemption	0	1994	\N	142	Drama
tt0068646	movie	The Godfather	The Godfather	0	1972	\N	175	Crime,Drama
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama
tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Action,Adventure,Drama
tt0108052	movie	Schindler's List	Schindler's List	0	1993	\N	195	Biography,Drama,History
tt0071562	movie	The Godfather Part II	The Godfather Part II	0	1974	\N	202	Crime,Drama
tt0050083	movie	12 Angry Men	12 Angry Men	0	1957	\N	96	Crime,Drama
tt0110912	movie	Pulp Fiction	Pulp Fiction	0	1994	\N	154	Crime,Drama
tt1375666	movie	Inception	Inception	0	2010	\N	148	Action,Adventure,Sci-Fi
tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0	2002	\N	179	Action,Adventure,Drama
tt0137523	movie	Fight Club	Fight Club	0	1999	\N	139	Drama
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Action,Adventure,Drama
tt0109830	movie	Forrest Gump	Forrest Gump	0	1994	\N	142	Drama,Romance
tt0060196	movie	The Good, the Bad and the Ugly	Il buono, il brutto, il cattivo	0	1966	\N	161	Adventure,Western
tt0133093	movie	The Matrix	The Matrix	0	1999	\N	136	Action,Sci-Fi
tt0099685	movie	Goodfellas	Goodfellas	0	1990	\N	145	Biography,Crime,Drama
tt0080684	movie	Star Wars: Episode V - The Empire Strikes Back	The Empire Strikes Back	0	1980	\N	124	Action,Adventure,Fantasy
tt0073486	movie	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	0	1975	\N	133	Drama
tt0816692	movie	Interstellar	Interstellar	0	2014	\N	169	Adventure,Drama,Sci-Fi
